Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID,Internal ID as hex
back-bow socks,,,White,No,600,150,23,White,Pink,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; vacation,1,No,For sale,1.0.0,Yes,SocksTexRibbon3,519,9055,NXYXEomdp3yqkafZ7,235F
back-bow socks,,,Black,No,600,150,23,Black,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; vacation,2,No,For sale,1.0.0,Yes,SocksTexRibbon2,519,9054,NbaHgge5Zf54Y6dQT,235E
back-bow socks,,,Pink,No,600,150,23,Pink,Black,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; vacation,3,No,For sale,1.0.0,Yes,SocksTexRibbon0,519,4718,SerX2gLYQTKxmFi7W,126E
back-bow socks,,,Yellow,No,600,150,23,Yellow,Green,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; vacation,4,No,For sale,1.0.0,Yes,SocksTexRibbon1,519,9053,KE3idPQwqM2kvbNFw,235D
back-bow socks,,,Peacock blue,No,600,150,23,Green,Pink,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; vacation,5,No,For sale,1.0.0,Yes,SocksTexRibbon5,519,9057,ju47pefTtHj739pAr,2361
back-bow socks,,,Blue,No,600,150,23,Aqua,Yellow,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; vacation,6,No,For sale,1.0.0,Yes,SocksTexRibbon4,519,9056,ZuzCi6zDF9G9Swfci,2360
bobby socks,,,White,No,480,120,51,White,White,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,All Year,Free,Elegant,Simple,formal; work,1,No,For sale,1.0.0,Yes,SocksTexFolded0,604,5171,aL52HPePkC84gPQup,1433
bobby socks,,,Gray,No,480,120,51,Gray,Gray,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Elegant,Simple,formal; work,2,No,For sale,1.0.0,Yes,SocksTexFolded1,604,10017,a9aLEHyXSdpHqYLm8,2721
bobby socks,,,Black,No,480,120,51,Black,Black,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Elegant,Simple,formal; work,3,No,For sale,1.0.0,Yes,SocksTexFolded2,604,10018,iby3kB32wD5rkxYod,2722
bobby socks,,,Brown,No,480,120,51,Brown,Brown,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Spring,,Free,Elegant,Simple,formal; work,4,No,For sale,1.0.0,Yes,SocksTexFolded3,604,10019,ZH9uTJSirjyNrH3Qw,2723
color-blocked socks,,,White,No,840,210,23,White,Colorful,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Cute,Elegant,everyday,1,No,For sale,1.0.0,Yes,SocksTexMultiblock5,612,9899,bxt6nkbfnX6KEKifX,26AB
color-blocked socks,,,Pink,No,840,210,23,Pink,Colorful,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Cute,Elegant,everyday,2,No,For sale,1.0.0,Yes,SocksTexMultiblock7,612,9901,3Y9LcSKLMJbT5YJfH,26AD
color-blocked socks,,,Lime,No,840,210,23,Green,Colorful,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Cute,Elegant,everyday,3,No,For sale,1.0.0,Yes,SocksTexMultiblock6,612,9900,jDEgNFRCGWgFw5hNq,26AC
color-blocked socks,,,Green,No,840,210,23,Green,Colorful,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Cute,Elegant,everyday,4,No,For sale,1.0.0,Yes,SocksTexMultiblock1,612,9895,gSZ3co7FeNLM2DqmZ,26A7
color-blocked socks,,,Blue,No,840,210,23,Blue,Colorful,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Cute,Elegant,everyday,5,No,For sale,1.0.0,Yes,SocksTexMultiblock3,612,9897,EKGnqpYcYK5KDre8R,26A9
color-blocked socks,,,Purple,No,840,210,23,Purple,Colorful,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Cute,Elegant,everyday,6,No,For sale,1.0.0,Yes,SocksTexMultiblock0,612,5180,5nRBXNdkdjyAjs5RQ,143C
color-blocked socks,,,Brown,No,840,210,23,Brown,Colorful,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Cute,Elegant,everyday,7,No,For sale,1.0.0,Yes,SocksTexMultiblock2,612,9896,tTwmQJF35W2CdDRNL,26A8
color-blocked socks,,,Beige,No,840,210,23,Beige,Colorful,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Cute,Elegant,everyday,8,No,For sale,1.0.0,Yes,SocksTexMultiblock4,612,9898,tkbYFgGoKnqAJZ49K,26AA
compression tights,,,Red,No,600,150,23,Black,Red,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Active,Active,outdoorsy; sporty; work,1,No,For sale,1.0.0,Yes,SocksTexCompression4,603,9793,qrFTn5ab3j4nHqzwd,2641
compression tights,,,Pink,No,600,150,23,Black,Pink,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Active,Active,outdoorsy; sporty; work,2,No,For sale,1.0.0,Yes,SocksTexCompression2,603,9791,SsdRjyHarAqc72Kmv,263F
compression tights,,,Yellow,No,600,150,23,Black,Yellow,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Active,Active,outdoorsy; sporty; work,3,No,For sale,1.0.0,Yes,SocksTexCompression1,603,9790,otHYAzdH3cf86yKEo,263E
compression tights,,,Mint,No,600,150,23,Black,Green,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Active,Active,outdoorsy; sporty; work,4,No,For sale,1.0.0,Yes,SocksTexCompression3,603,9792,j6AcTLGBGdk9xgThP,2640
compression tights,,,Blue,No,600,150,23,Black,Blue,1x1,,,Kicks; Kicks' Co-op,,,,All Year,All Year,,Free,Active,Active,outdoorsy; sporty; work,5,No,For sale,1.0.0,Yes,SocksTexCompression0,603,5170,Fc8uttzc2hwQM7RKw,1432
country socks,,,Black ribbons,No,720,180,51,White,Black,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Elegant,Simple,formal; work,1,No,For sale,1.0.0,Yes,SocksTexCountry3,926,8944,ptJF3tBrJxAYRLT5T,22F0
country socks,,,Red ribbons,No,720,180,51,White,Red,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Elegant,Simple,formal; work,2,No,For sale,1.0.0,Yes,SocksTexCountry0,926,6044,wgBZqqpZomaTLZhcz,179C
country socks,,,Green ribbons,No,720,180,51,White,Green,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Elegant,Simple,formal; work,3,No,For sale,1.0.0,Yes,SocksTexCountry1,926,8942,RWpifRdqLmYQL5dGf,22EE
country socks,,,Blue ribbons,No,720,180,51,White,Blue,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Elegant,Simple,formal; work,4,No,For sale,1.0.0,Yes,SocksTexCountry2,926,8943,mDTdqvPWaESchMEGe,22EF
crocheted socks,,,Gray,No,600,150,51,Gray,Gray,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Elegant,Simple,everyday; comfy,1,No,For sale,1.0.0,Yes,SocksTexCrocheting1,626,8939,mopfLb9yhXEj9qXS2,22EB
crocheted socks,,,Purple,No,600,150,51,Pink,Pink,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Elegant,Simple,everyday; comfy,2,No,For sale,1.0.0,Yes,SocksTexCrocheting2,626,8940,PT7ZGkfTfkvtkBmJx,22EC
crocheted socks,,,Blue,No,600,150,51,Aqua,Aqua,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Elegant,Simple,everyday; comfy,3,No,For sale,1.0.0,Yes,SocksTexCrocheting3,626,8941,k8aPtaZcFrRZwZvD6,22ED
crocheted socks,,,Beige,No,600,150,51,Beige,Beige,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,Autumn,,Free,Elegant,Simple,everyday; comfy,4,No,For sale,1.0.0,Yes,SocksTexCrocheting0,626,5202,phkn7YMAHEZZFyC3L,1452
denim leggings,,,Indigo blue,No,540,135,51,Blue,Blue,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Simple,Simple,everyday; outdoorsy; sporty,1,No,For sale,1.0.0,Yes,SocksTexDenimleggings1,539,9782,zX9ge6E48pkgAtvJG,2636
denim leggings,,,Light blue,No,540,135,51,Aqua,Aqua,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Simple,Simple,everyday; outdoorsy; sporty,2,No,For sale,1.0.0,Yes,SocksTexDenimleggings3,539,9784,kJjSEP42iYeHw2XTP,2638
denim leggings,,,Saxon blue,No,540,135,51,Aqua,Aqua,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Simple,Simple,everyday; outdoorsy; sporty,3,No,For sale,1.0.0,Yes,SocksTexDenimleggings2,539,9783,z4ygu9Huw9NGZBeYZ,2637
denim leggings,,,Blue,No,540,135,51,Blue,Blue,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Simple,Simple,everyday; outdoorsy; sporty,4,No,For sale,1.0.0,Yes,SocksTexDenimleggings0,539,4745,3FSnfcpAYm5Fjbctc,1289
dotted knee-high socks,,,Gray,No,720,180,51,Gray,Gray,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,Winter,Free,Cute,Simple,everyday,1,No,For sale,1.0.0,Yes,SocksTexDotknee3,1188,12181,wJw3R2v2MKdSepbvE,2F95
dotted knee-high socks,,,Black,No,720,180,51,Black,Black,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,Winter,Free,Cute,Simple,everyday,2,No,For sale,1.0.0,Yes,SocksTexDotknee0,1188,12174,NvX65fPWJDEAJdBh8,2F8E
dotted knee-high socks,,,Yellow,No,720,180,51,Yellow,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Cute,Simple,everyday,3,No,For sale,1.0.0,Yes,SocksTexDotknee1,1188,12179,2yn8c76aCod8W6H9t,2F93
dotted knee-high socks,,,Cyan,No,720,180,51,Green,Green,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Cute,Simple,everyday,4,No,For sale,1.0.0,Yes,SocksTexDotknee2,1188,12180,Kvp83zH2Qcp6XeJro,2F94
embroidered-flower tights,,,Black,No,1000,250,51,Black,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Cute,Elegant,everyday; fairy tale; party,1,No,For sale,1.0.0,Yes,SocksTexEmbroidery1,628,9907,SiWtz8aTYoK75JfRz,26B3
embroidered-flower tights,,,Green,No,1000,250,51,Green,Yellow,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Cute,Elegant,everyday; fairy tale; party,2,No,For sale,1.0.0,Yes,SocksTexEmbroidery2,628,9908,jPQA8CohQNBhSwsiq,26B4
embroidered-flower tights,,,Blue,No,1000,250,51,Blue,Orange,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Cute,Elegant,everyday; fairy tale; party,3,No,For sale,1.0.0,Yes,SocksTexEmbroidery4,628,9910,fmZu6dNagF4XW6rvd,26B6
embroidered-flower tights,,,Purple,No,1000,250,51,Purple,Pink,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Cute,Elegant,everyday; fairy tale; party,4,No,For sale,1.0.0,Yes,SocksTexEmbroidery5,628,9911,iivtbk5pG2i2asvBC,26B7
embroidered-flower tights,,,Brown,No,1000,250,51,Brown,Red,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Cute,Elegant,everyday; fairy tale; party,5,No,For sale,1.0.0,Yes,SocksTexEmbroidery0,628,5204,qAsvxHbnuC6DDNZjG,1454
embroidered-flower tights,,,Beige,No,1000,250,51,Beige,Red,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Cute,Elegant,everyday; fairy tale; party,6,No,For sale,1.0.0,Yes,SocksTexEmbroidery3,628,9909,fwcHa7FkHcm4BZdYP,26B5
everyday socks,,,White,No,600,150,51,White,White,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,Summer,Free,Simple,Simple,everyday; work,1,No,For sale,1.0.0,Yes,SocksTexDailysocks5,1059,10038,4s4vWXEwkLbb3efNb,2736
everyday socks,,,Gray,No,600,150,51,Gray,Gray,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Simple,Simple,everyday; work,2,No,For sale,1.0.0,Yes,SocksTexDailysocks3,1059,10036,RYHfit78bZMtfDcGL,2734
everyday socks,,,Black,No,600,150,51,Black,Black,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Simple,Simple,everyday; work,3,No,For sale,1.0.0,Yes,SocksTexDailysocks1,1059,10034,Pe45hBHF5EJnYr9Es,2732
everyday socks,,,Navy blue,No,600,150,51,Blue,Blue,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,Winter,Free,Simple,Simple,everyday; work,4,No,For sale,1.0.0,Yes,SocksTexDailysocks2,1059,10035,MyTLF7gvqar4TjoR3,2733
everyday socks,,,Brown,No,600,150,51,Brown,Brown,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Simple,Simple,everyday; work,5,No,For sale,1.0.0,Yes,SocksTexDailysocks0,1059,9645,7NubAsby6JGtDjkQE,25AD
everyday socks,,,Beige,No,600,150,51,Beige,Beige,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,,Free,Simple,Simple,everyday; work,6,No,For sale,1.0.0,Yes,SocksTexDailysocks4,1059,10037,AjdoBNEpkupPceJ4z,2735
everyday tights,,,White,No,720,180,51,White,White,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,Summer; Winter,Free,Simple,Simple,everyday; work,1,No,For sale,1.0.0,Yes,SocksTexDailytights3,1050,9684,iENLav487Pt8WgfWk,25D4
everyday tights,,,Light gray,No,720,180,51,Gray,Gray,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Simple,Simple,everyday; work,2,No,For sale,1.0.0,Yes,SocksTexDailytights1,1050,9682,GG4hZNfY85kX42aEe,25D2
everyday tights,,,Gray,No,720,180,51,Gray,Gray,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,Winter,Free,Simple,Simple,everyday; work,3,No,For sale,1.0.0,Yes,SocksTexDailytights2,1050,9683,HWnMuGqHxjQLh7yDJ,25D3
everyday tights,,,Black,No,720,180,51,Black,Black,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Simple,Simple,everyday; work,4,No,For sale,1.0.0,Yes,SocksTexDailytights0,1050,9581,rh6Bpp5D5QL7QXt7F,256D
everyday tights,,,Navy blue,No,720,180,51,Blue,Blue,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,All Year,Free,Simple,Simple,everyday; work,5,No,For sale,1.0.0,Yes,SocksTexDailytights4,1050,9685,Byc5JuPksWfY4wprE,25D5
everyday tights,,,Beige,No,720,180,51,Beige,Beige,1x1,,,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,,,All Year,All Year,Summer,Free,Simple,Simple,everyday; work,6,No,For sale,1.0.0,Yes,SocksTexDailytights5,1050,9686,w9RMWiq6CjrmwWJtN,25D6
fishnet tights,,,White,No,480,120,51,White,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Elegant,Cool,party; theatrical,1,No,For sale,1.0.0,Yes,SocksTexAmitights1,48,9659,gsjb2cGwKR3nQswoP,25BB
fishnet tights,,,Black,No,480,120,51,Black,Black,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,All Year,Free,Elegant,Cool,party; theatrical,2,No,For sale,1.0.0,Yes,SocksTexAmitights0,48,3096,3tL4DiJ9rWHthc9Pk,0C18
fishnet tights,,,Red,No,480,120,51,Red,Red,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,All Year,,Free,Elegant,Cool,party; theatrical,3,No,For sale,1.0.0,Yes,SocksTexAmitights2,48,9660,48n6aHZGEPnDEK9jx,25BC
flowery-dot tights,,,White,No,720,180,51,White,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,All Year,Free,Elegant,Cute,fairy tale; formal; party; theatrical,1,No,For sale,1.0.0,Yes,SocksTexFlowerdot0,879,5804,PMGBtgwgdqyfgFLGT,16AC
flowery-dot tights,,,Black,No,720,180,51,Black,Black,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,Winter,Free,Elegant,Cute,fairy tale; formal; party; theatrical,2,No,For sale,1.0.0,Yes,SocksTexFlowerdot4,879,9920,Can7JCiG9L8Hm9TDc,26C0
flowery-dot tights,,,Pink,No,720,180,51,Pink,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Elegant,Cute,fairy tale; formal; party; theatrical,3,No,For sale,1.0.0,Yes,SocksTexFlowerdot1,879,9917,iPqdJXpkmoQHFa3bk,26BD
flowery-dot tights,,,Yellow,No,720,180,51,Yellow,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Elegant,Cute,fairy tale; formal; party; theatrical,4,No,For sale,1.0.0,Yes,SocksTexFlowerdot3,879,9919,MKk8HkGiw8Dm5isEd,26BF
flowery-dot tights,,,Blue,No,720,180,51,Aqua,White,1x1,,,Able Sisters,Available from Able Sisters shop only,,,All Year,Spring,,Free,Elegant,Cute,fairy tale; formal; party; theatrical,5,No,For sale,1.0.0,Yes,SocksTexFlowerdot2,879,9918,LQLHZmbq5ooLpTaSc,26BE
frilly knee-high socks,,,Black,No,840,210,23,Black,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; theatrical,1,No,For sale,1.0.0,Yes,SocksTexFrilledknee0,605,5172,vmXP6mnS88memLCX4,1434
frilly knee-high socks,,,Red,No,840,210,23,Red,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; theatrical,2,No,For sale,1.0.0,Yes,SocksTexFrilledknee2,605,11590,xds2s4575YP27vR8A,2D46
frilly knee-high socks,,,Pink,No,840,210,23,Pink,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; theatrical,3,No,For sale,1.0.0,Yes,SocksTexFrilledknee5,605,11593,v9tYcuwPdAT7v3wQS,2D49
frilly knee-high socks,,,Brown,No,840,210,23,Orange,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; theatrical,4,No,For sale,1.0.0,Yes,SocksTexFrilledknee3,605,11591,JNi4geueh5oD227xR,2D47
frilly knee-high socks,,,Yellow,No,840,210,23,Yellow,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; theatrical,5,No,For sale,1.0.0,Yes,SocksTexFrilledknee7,605,11595,WdGcfiFNT7NYtgr2x,2D4B
frilly knee-high socks,,,Green,No,840,210,23,Green,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; theatrical,6,No,For sale,1.0.0,Yes,SocksTexFrilledknee1,605,11589,3Q2vgyB7ck687Eyqg,2D45
frilly knee-high socks,,,Mint,No,840,210,23,Aqua,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; theatrical,7,No,For sale,1.0.0,Yes,SocksTexFrilledknee4,605,11592,CWTTXCXbYiGajL8GN,2D48
frilly knee-high socks,,,Purple,No,840,210,23,Purple,White,1x1,,,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,,Free,Cute,Cute,everyday; fairy tale; party; theatrical,8,No,For sale,1.0.0,Yes,SocksTexFrilledknee6,605,11594,WXa2dtqHH4yTqi72y,2D4A
